,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
539,2015-04-12,South East Asia,Malaysia,Suspicious activity at sea,Product tanker,0,Off shore,1.33333333333333,104.35,Morning,1,0,2015,4,15,12,6,2015-04
538,2015-04-13,West Africa,Nigeria,"Failed attack, kidnap/ransom",Other,0,Off shore,6.0,5.45,Morning,1,0,2015,4,16,13,0,2015-04
537,2015-04-15,South East Asia,Malaysia,Theft at sea,Other,0,Off shore,1.21,103.55,Afternoon,1,1,2015,4,16,15,2,2015-04
536,2015-04-16,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.05,103.666666666667,Night,1,1,2015,4,16,16,3,2015-04
535,2015-04-17,South Asia,India,Armed robbery at sea,Fishing vessel,0,Off shore,10.2366361111111,79.9454955555556,Evening,1,1,2015,4,16,17,4,2015-04
534,2015-04-17,North Africa,Libya,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,33.0330744444444,14.5968013888889,Unknown,1,0,2015,4,16,17,4,2015-04
533,2015-04-18,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.13790027777778,103.778637222222,Night,1,0,2015,4,16,18,5,2015-04
532,2015-04-18,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.126,103.758666666667,Night,1,0,2015,4,16,18,5,2015-04
531,2015-04-19,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,21.6585963888889,89.5186619444444,Unknown,1,1,2015,4,16,19,6,2015-04
530,2015-04-20,South East Asia,Indonesia,"Failed attack, robbery",Tanker,0,Off shore,1.06666666666667,103.666666666667,Night,1,0,2015,4,17,20,0,2015-04
529,2015-04-20,South East Asia,Malaysia,Armed robbery at sea,Bulk carrier,0,Off shore,3.6,104.3,Evening,1,1,2015,4,17,20,0,2015-04
528,2015-04-21,West Africa,Nigeria,Suspicious activity at sea,Unknown vessel type,0,Off shore,2.4,5.41666666666667,Morning,1,0,2015,4,17,21,1,2015-04
527,2015-04-21,South East Asia,Malaysia,"Failed attack, robbery",Tanker,0,Off shore,2.46666666666667,104.433333333333,Morning,1,0,2015,4,17,21,1,2015-04
526,2015-04-22,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.25,104.166666666667,Night,1,0,2015,4,17,22,2,2015-04
525,2015-04-23,South East Asia,Malaysia,Armed robbery at sea,Chemical tanker,0,Off shore,1.28083333333333,104.18966666666701,Night,1,1,2015,4,17,23,3,2015-04
520,2015-04-24,Eastern Mediterranean,Iran,Counter insurgency/military operation,Container ship,1,Off shore,25.7,55.2666666666667,Morning,1,1,2015,4,17,24,4,2015-04
519,2015-04-24,West Africa,Nigeria,Suspicious activity at sea,Unknown vessel type,0,Off shore,4.33333333333333,7.98333333333333,Evening,1,0,2015,4,17,24,4,2015-04
521,2015-04-24,West Africa,Nigeria,"Failed attack, kidnap/ransom",Other,0,Off shore,4.21916666666667,7.39216666666667,Night,1,0,2015,4,17,24,4,2015-04
522,2015-04-24,West Africa,Guinea,"Failed attack, robbery",Bulk carrier,0,Anchorage,9.41666666666667,-12.283333333333301,Night,1,0,2015,4,17,24,4,2015-04
524,2015-04-24,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Anchorage,1.6954616666666698,101.463700277778,Unknown,1,0,2015,4,17,24,4,2015-04
523,2015-04-24,South Asia,Bangladesh,Armed robbery at anchorage,Product tanker,0,Anchorage,22.1166666666667,91.7833333333333,Night,1,1,2015,4,17,24,4,2015-04
518,2015-04-25,South Asia,Bangladesh,Armed robbery at anchorage,Bulk carrier,0,Anchorage,22.1,91.75,Night,1,1,2015,4,17,25,5,2015-04
517,2015-04-25,South East Asia,Malaysia,Theft at sea,Bulk carrier,0,Off shore,1.33333333333333,104.4,Night,1,1,2015,4,17,25,5,2015-04
516,2015-04-25,West Africa,Nigeria,Suspicious activity at sea,Tug,0,Off shore,3.3,5.13383333333333,Evening,1,0,2015,4,17,25,5,2015-04
515,2015-04-25,South Asia,Bangladesh,Armed robbery at anchorage,Container ship,0,Anchorage,22.1833333333333,91.7166666666667,Evening,1,1,2015,4,17,25,5,2015-04
514,2015-04-26,South East Asia,Indonesia,Anti-piracy/naval operation,Product tanker,0,Berth,0.0223847222222222,104.89196777777799,Unknown,1,0,2015,4,17,26,6,2015-04
513,2015-04-26,South East Asia,Malaysia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.25,104.116666666667,Night,1,0,2015,4,17,26,6,2015-04
512,2015-04-26,South East Asia,Malaysia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.2635,104.171333333333,Night,1,0,2015,4,17,26,6,2015-04
511,2015-04-27,South East Asia,Singapore,"Failed attack, robbery",Container ship,0,Off shore,1.15664444444444,103.480224722222,Night,1,0,2015,4,18,27,0,2015-04
510,2015-04-28,Eastern Mediterranean,Iran,Counter insurgency/military operation,Container ship,1,Off shore,26.65,56.241666666666696,Afternoon,1,1,2015,4,18,28,1,2015-04
509,2015-04-28,West Africa,Nigeria,Suspicious activity at sea,Unknown vessel type,0,Off shore,4.724565,8.355617500000001,Evening,1,0,2015,4,18,28,1,2015-04
508,2015-04-29,West Africa,Nigeria,Kidnap/ransom at anchorage,Unknown vessel type,0,Anchorage,4.98838472222222,8.295428888888889,Evening,1,1,2015,4,18,29,2,2015-04
507,2015-05-01,South East Asia,Philippines,Theft at anchorage,Container ship,0,Anchorage,14.595,120.84166666666701,Night,1,1,2015,5,18,1,4,2015-05
506,2015-05-01,South East Asia,Indonesia,"Failed attack, robbery",Tanker,0,Anchorage,1.71666666666667,101.4,Night,1,0,2015,5,18,1,4,2015-05
505,2015-05-02,South East Asia,Indonesia,Suspicious activity at sea,Tug,0,Off shore,1.26622833333333,104.60314749999999,Unknown,1,0,2015,5,18,2,5,2015-05
504,2015-05-02,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.32166666666667,101.67333333333299,Evening,1,1,2015,5,18,2,5,2015-05
503,2015-05-03,South East Asia,Indonesia,Armed robbery at berth,Bulk carrier,0,Berth,3.78333333333333,98.7,Afternoon,1,1,2015,5,18,3,6,2015-05
502,2015-05-04,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.09,103.726666666667,Night,1,1,2015,5,19,4,0,2015-05
501,2015-05-05,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.05,103.616666666667,Evening,1,0,2015,5,19,5,1,2015-05
500,2015-05-05,South Asia,Bangladesh,Armed robbery at anchorage,Crude oil tanker,0,Anchorage,21.801666666666698,91.7,Evening,1,1,2015,5,19,5,1,2015-05
499,2015-05-06,South East Asia,Singapore,Theft at anchorage,General cargo vessel,0,Anchorage,1.28333333333333,104.016666666667,Afternoon,1,1,2015,5,19,6,2,2015-05
498,2015-05-07,West Africa,Congo,Armed robbery at anchorage,General cargo vessel,0,Anchorage,-4.135,13.413333333333302,Morning,1,1,2015,5,19,7,3,2015-05
497,2015-05-08,South East Asia,Singapore,Theft at sea,Gas tanker,0,Off shore,1.04433333333333,103.6505,Night,1,1,2015,5,19,8,4,2015-05
496,2015-05-09,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.16666666666667,103.833333333333,Night,1,0,2015,5,19,9,5,2015-05
495,2015-05-09,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.088,103.713,Night,1,1,2015,5,19,9,5,2015-05
493,2015-05-10,North Africa,Libya,Other maritime risk,General cargo vessel,0,Unknown,32.847288611111104,22.6593016666667,Evening,1,1,2015,5,19,10,6,2015-05
494,2015-05-10,South East Asia,Indonesia,"Failed attack, robbery",Chemical tanker,0,Off shore,1.7,101.46666666666701,Night,1,0,2015,5,19,10,6,2015-05
492,2015-05-11,West Africa,Nigeria,Armed robbery at sea,Supply vessel,0,Off shore,4.3,7.86666666666667,Night,1,1,2015,5,20,11,0,2015-05
491,2015-05-11,South East Asia,Vietnam,Theft at sea,Bulk carrier,0,Off shore,10.2131666666667,107.075666666667,Afternoon,1,1,2015,5,20,11,0,2015-05
490,2015-05-13,East Africa,Somalia,Kidnap/ransom at sea,Fishing vessel,0,Off shore,3.7120352777777796,47.3696136111111,Unknown,1,1,2015,5,20,13,2,2015-05
489,2015-05-13,South East Asia,Singapore,Theft at sea,Container ship,0,Off shore,1.1275594444444401,103.675666944444,Night,1,1,2015,5,20,13,2,2015-05
488,2015-05-14,West Africa,Nigeria,Kidnap/ransom at sea,Tug,0,Off shore,4.0291666666666694,7.09233333333333,Night,1,1,2015,5,20,14,3,2015-05
487,2015-05-14,Eastern Mediterranean,Iran,Counter insurgency/military operation,Product tanker,0,Off shore,25.602043888888897,55.038328333333304,Afternoon,1,1,2015,5,20,14,3,2015-05
486,2015-05-14,South East Asia,Malaysia,Kidnap/ransom at berth,Unknown vessel type,0,Berth,5.86335055555555,118.113006666667,Evening,1,1,2015,5,20,14,3,2015-05
481,2015-05-15,South East Asia,Indonesia,Suspicious activity at sea,Tug,0,Off shore,1.25416666666667,104.046833333333,Evening,1,0,2015,5,20,15,4,2015-05
482,2015-05-15,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Off shore,4.60731027777778,8.471145555555559,Morning,1,1,2015,5,20,15,4,2015-05
485,2015-05-15,South Asia,India,Theft at berth,Product tanker,0,Berth,22.996491944444397,70.2318419444444,Night,1,1,2015,5,20,15,4,2015-05
484,2015-05-15,West Africa,Guinea,Armed robbery at anchorage,Bulk carrier,0,Anchorage,9.41666666666667,-12.266666666666698,Night,1,1,2015,5,20,15,4,2015-05
483,2015-05-15,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,3.575,110.651333333333,Morning,1,1,2015,5,20,15,4,2015-05
480,2015-05-16,South East Asia,Singapore,"Failed attack, robbery",Tug,0,Off shore,1.25416666666667,104.046833333333,Morning,1,0,2015,5,20,16,5,2015-05
479,2015-05-16,South Asia,Bangladesh,Theft at anchorage,Bulk carrier,0,Anchorage,21.766666666666698,91.7,Night,1,1,2015,5,20,16,5,2015-05
478,2015-05-16,South East Asia,Vietnam,Theft at sea,Other,0,Off shore,8.321666666666669,108.863333333333,Night,1,1,2015,5,20,16,5,2015-05
477,2015-05-16,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,10.1833333333333,107.05,Evening,1,1,2015,5,20,16,5,2015-05
475,2015-05-17,South Asia,Bangladesh,"Failed attack, robbery",General cargo vessel,0,Anchorage,22.2,91.7166666666667,Night,1,0,2015,5,20,17,6,2015-05
476,2015-05-17,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.08358694444444,103.699516111111,Unknown,1,0,2015,5,20,17,6,2015-05
474,2015-05-18,South East Asia,Indonesia,Theft at sea,Tanker,0,Off shore,1.08333333333333,103.6,Morning,1,1,2015,5,21,18,0,2015-05
473,2015-05-18,West Africa,Nigeria,Kidnap/ransom at sea,Supply vessel,0,Off shore,4.3,7.86666666666667,Evening,1,1,2015,5,21,18,0,2015-05
472,2015-05-19,West Africa,Nigeria,"Failed attack, kidnap/ransom",Container ship,0,Off shore,4.0333333333333306,7.08333333333333,Night,1,0,2015,5,21,19,1,2015-05
471,2015-05-19,South East Asia,Malaysia,Armed robbery at sea,Product tanker,0,Off shore,4.13333333333333,99.9,Morning,1,1,2015,5,21,19,1,2015-05
470,2015-05-19,West Africa,Nigeria,"Failed attack, kidnap/ransom",Supply vessel,0,Off shore,4.0,7.5,Morning,1,0,2015,5,21,19,1,2015-05
469,2015-05-19,West Africa,Nigeria,"Failed attack, kidnap/ransom",Product tanker,0,Off shore,4.41666666666667,7.83333333333333,Morning,1,0,2015,5,21,19,1,2015-05
468,2015-05-20,South East Asia,Philippines,Theft at anchorage,Product tanker,0,Anchorage,13.733333333333302,121.038333333333,Night,1,1,2015,5,21,20,2,2015-05
467,2015-05-20,South East Asia,Indonesia,Theft at anchorage,Product tanker,1,Anchorage,1.70807527777778,101.41653444444401,Morning,1,1,2015,5,21,20,2,2015-05
466,2015-05-20,West Africa,Nigeria,Kidnap/ransom at berth,Unknown vessel type,0,Berth,5.2166666666666694,6.18333333333333,Morning,1,1,2015,5,21,20,2,2015-05
465,2015-05-22,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.0433333333333301,103.66183333333299,Night,1,0,2015,5,21,22,4,2015-05
464,2015-05-22,West Africa,Cote D'Ivoire,"Failed attack, robbery",Merchant vessel,0,Anchorage,5.18833333333333,-2.02166666666667,Night,1,0,2015,5,21,22,4,2015-05
463,2015-05-22,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,4.47527472222222,7.80261027777778,Night,1,1,2015,5,21,22,4,2015-05
462,2015-05-22,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,10.1833333333333,107.05,Morning,1,1,2015,5,21,22,4,2015-05
461,2015-05-23,South East Asia,Philippines,"Failed attack, robbery",Tanker,0,Anchorage,13.65,120.983333333333,Evening,1,0,2015,5,21,23,5,2015-05
460,2015-05-23,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Off shore,1.04166666666667,103.65,Night,1,0,2015,5,21,23,5,2015-05
459,2015-05-24,North Africa,Libya,Other maritime risk,Tanker,0,Berth,31.2053138888889,16.5889361111111,Unknown,1,1,2015,5,21,24,6,2015-05
457,2015-05-26,West Africa,Nigeria,"Failed attack, robbery",Product tanker,0,Berth,6.43249944444444,3.36195666666667,Night,1,0,2015,5,22,26,1,2015-05
707,2015-05-26,South Asia,Bangladesh,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,21.8719486111111,89.513855,Unknown,1,1,2015,5,22,26,1,2015-05
458,2015-05-26,Americas,Trinidad And Tobago,Kidnap/ransom at sea,Unknown vessel type,0,Unknown,10.7037016666667,-60.216369444444396,Unknown,1,1,2015,5,22,26,1,2015-05
706,2015-05-26,West Africa,Nigeria,Insurgency operation,Unknown vessel type,0,Unknown,5.551666666666669,5.5,Evening,1,1,2015,5,22,26,1,2015-05
456,2015-05-27,South Asia,India,Suspicious activity at sea,General cargo vessel,0,Off shore,6.305,77.1883333333333,Evening,1,0,2015,5,22,27,2,2015-05
455,2015-05-27,South Asia,India,Theft at berth,Chemical tanker,0,Berth,22.9977683333333,70.1966541666667,Night,1,1,2015,5,22,27,2,2015-05
454,2015-05-28,West Africa,Nigeria,Suspicious activity at sea,Merchant vessel,0,Off shore,3.71166666666667,6.37166666666667,Evening,1,0,2015,5,22,28,3,2015-05
453,2015-05-30,Eastern Mediterranean,Yemen,Other maritime risk,General cargo vessel,0,Off shore,12.758209166666699,44.9569244444444,Unknown,1,1,2015,5,22,30,5,2015-05
452,2015-06-01,South Asia,Bangladesh,Armed robbery at anchorage,Bulk carrier,0,Anchorage,22.259,91.7108333333333,Night,1,1,2015,6,23,1,0,2015-06
451,2015-06-03,South East Asia,Indonesia,Hijacking at sea,Merchant vessel,0,Off shore,-0.561766111111111,106.965637222222,Evening,1,1,2015,6,23,3,2,2015-06
450,2015-06-03,West Africa,Togo,Suspicious activity at anchor,Unknown vessel type,0,Anchorage,6.05878027777778,1.21630666666667,Morning,1,0,2015,6,23,3,2,2015-06
449,2015-06-04,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.35,104.366666666667,Night,1,1,2015,6,23,4,3,2015-06
448,2015-06-04,Americas,Colombia,Other maritime risk,Unknown vessel type,0,Unknown,3.88182,-76.92958,Morning,1,1,2015,6,23,4,3,2015-06
447,2015-06-04,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,10.0833333333333,107.03333333333299,Evening,1,1,2015,6,23,4,3,2015-06
446,2015-06-05,Americas,Colombia,Theft at anchorage,Product tanker,0,Anchorage,3.86,-76.9016666666667,Afternoon,1,1,2015,6,23,5,4,2015-06
445,2015-06-06,South East Asia,Vietnam,Theft at anchorage,Other,0,Anchorage,10.3583333333333,107.033166666667,Afternoon,1,1,2015,6,23,6,5,2015-06
444,2015-06-07,Americas,Panama,Theft at anchorage,General cargo vessel,0,Anchorage,9.358265277777779,-78.06846611111109,Unknown,1,1,2015,6,23,7,6,2015-06
443,2015-06-07,Eastern Mediterranean,Ukraine,Other maritime risk,Unknown vessel type,0,Unknown,47.063558333333305,37.5892180555556,Afternoon,1,1,2015,6,23,7,6,2015-06
439,2015-06-08,South East Asia,Singapore,Theft at sea,Chemical tanker,0,Off shore,1.19666666666667,103.418333333333,Night,1,1,2015,6,24,8,0,2015-06
441,2015-06-08,West Africa,Congo,"Failed attack, robbery",General cargo vessel,0,Anchorage,-3.2666666666666697,11.75,Night,1,0,2015,6,24,8,0,2015-06
440,2015-06-08,West Africa,Cameroon,Theft at berth,Bulk carrier,0,Berth,4.05266666666667,9.69,Night,1,1,2015,6,24,8,0,2015-06
442,2015-06-08,East Africa,Mozambique,Armed robbery at berth,General cargo vessel,0,Berth,-18.1833333333333,34.8333333333333,Night,1,1,2015,6,24,8,0,2015-06
438,2015-06-11,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.15027472222222,104.734725833333,Unknown,1,1,2015,6,24,11,3,2015-06
437,2015-06-11,South Asia,Bangladesh,Theft at berth,Chemical tanker,0,Berth,22.2706666666667,91.8038333333333,Morning,1,1,2015,6,24,11,3,2015-06
436,2015-06-12,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,6.40741916666667,2.88550194444444,Unknown,1,1,2015,6,24,12,4,2015-06
435,2015-06-12,South East Asia,Indonesia,Armed robbery at anchorage,Other,0,Anchorage,4.0,98.9,Night,1,1,2015,6,24,12,4,2015-06
434,2015-06-13,West Africa,Nigeria,Counter insurgency/military operation,Unknown vessel type,0,Unknown,4.33333333333333,6.05,Unknown,1,1,2015,6,24,13,5,2015-06
433,2015-06-13,South East Asia,Indonesia,Armed robbery at sea,Tug,0,Off shore,1.5833333333333302,105.0,Evening,1,1,2015,6,24,13,5,2015-06
432,2015-06-15,West Africa,Nigeria,Insurgency operation,Unknown vessel type,0,Unknown,4.96379777777778,8.31780916666667,Morning,1,1,2015,6,25,15,0,2015-06
431,2015-06-15,East Africa,Oman,Suspicious activity at sea,Merchant vessel,0,Off shore,24.6,57.7833333333333,Morning,1,0,2015,6,25,15,0,2015-06
427,2015-06-17,South East Asia,Indonesia,Armed robbery at sea,Crude oil tanker,0,Off shore,1.05133333333333,103.611333333333,Night,1,1,2015,6,25,17,2,2015-06
428,2015-06-17,South East Asia,Malaysia,"Failed attack, robbery",Gas tanker,0,Off shore,1.08716666666667,103.0,Night,1,0,2015,6,25,17,2,2015-06
429,2015-06-17,South East Asia,Indonesia,Armed robbery at sea,Crude oil tanker,0,Off shore,1.06666666666667,103.566666666667,Night,1,1,2015,6,25,17,2,2015-06
430,2015-06-17,South East Asia,Malaysia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.08716666666667,103.711,Night,1,0,2015,6,25,17,2,2015-06
426,2015-06-18,West Africa,Nigeria,Counter insurgency/military operation,Unknown vessel type,0,Unknown,5.09135472222222,8.10241694444444,Unknown,1,1,2015,6,25,18,3,2015-06
425,2015-06-18,South East Asia,Malaysia,Anti-piracy/naval operation,Product tanker,0,Off shore,1.30983333333333,104.2265,Morning,1,0,2015,6,25,18,3,2015-06
424,2015-06-18,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.13766666666667,103.479666666667,Night,1,0,2015,6,25,18,3,2015-06
423,2015-06-18,South East Asia,Vietnam,Anti-piracy/naval operation,Product tanker,0,Off shore,8.98583333333333,103.1935,Afternoon,1,0,2015,6,25,18,3,2015-06
422,2015-06-19,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.14762833333333,103.64433277777799,Unknown,1,0,2015,6,25,19,4,2015-06
421,2015-06-19,South East Asia,Vietnam,Anti-piracy/naval operation,Product tanker,0,Unknown,9.2555625,103.21655277777799,Morning,1,0,2015,6,25,19,4,2015-06
420,2015-06-19,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.9166666666666696,98.7666666666667,Night,1,0,2015,6,25,19,4,2015-06
419,2015-06-20,South Asia,Bangladesh,Armed robbery at anchorage,Container ship,0,Anchorage,22.1666666666667,91.7,Morning,1,1,2015,6,25,20,5,2015-06
418,2015-06-21,South East Asia,Indonesia,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,1.04693027777778,103.87968055555599,Morning,1,0,2015,6,25,21,6,2015-06
417,2015-06-22,South East Asia,Indonesia,Theft at sea,Bulk carrier,0,Off shore,1.07073833333333,103.72398388888901,Unknown,1,1,2015,6,26,22,0,2015-06
416,2015-06-22,South Asia,Bangladesh,Armed robbery at anchorage,Container ship,0,Anchorage,22.15,91.7333333333333,Evening,1,1,2015,6,26,22,0,2015-06
415,2015-06-23,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,4.77183333333333,7.0025,Night,1,1,2015,6,26,23,1,2015-06
414,2015-06-23,West Africa,Nigeria,Kidnap/ransom at sea,Fishing vessel,0,Off shore,4.32575388888889,8.31504833333333,Afternoon,1,1,2015,6,26,23,1,2015-06
410,2015-06-24,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.04166666666667,103.04666666666701,Night,1,1,2015,6,26,24,2,2015-06
413,2015-06-24,South East Asia,Indonesia,Theft at sea,Bulk carrier,0,Off shore,1.04016666666667,103.6595,Unknown,1,1,2015,6,26,24,2,2015-06
412,2015-06-24,South East Asia,Indonesia,Theft at sea,Bulk carrier,0,Off shore,1.0648799999999998,103.605194166667,Night,1,1,2015,6,26,24,2,2015-06
411,2015-06-24,South East Asia,Indonesia,Armed robbery at berth,Bulk carrier,0,Berth,-0.3,117.666666666667,Night,1,1,2015,6,26,24,2,2015-06
409,2015-06-26,South East Asia,Indonesia,Theft at sea,Bulk carrier,0,Off shore,1.00620444444444,103.567428611111,Unknown,1,1,2015,6,26,26,4,2015-06
408,2015-06-26,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.1,103.733333333333,Night,1,0,2015,6,26,26,4,2015-06
407,2015-06-26,South East Asia,Malaysia,Theft at sea,Tanker,0,Off shore,1.18833333333333,103.425,Night,1,1,2015,6,26,26,4,2015-06
406,2015-06-26,South East Asia,Singapore,Armed robbery at sea,Container ship,0,Off shore,1.17633333333333,103.527166666667,Night,1,1,2015,6,26,26,4,2015-06
405,2015-06-26,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.06166666666667,103.619666666667,Night,1,0,2015,6,26,26,4,2015-06
404,2015-06-26,West Africa,Togo,"Failed attack, robbery",Container ship,0,Anchorage,6.01666666666667,1.28333333333333,Evening,1,0,2015,6,26,26,4,2015-06
403,2015-06-27,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Off shore,4.58333333333333,8.4,Unknown,1,1,2015,6,26,27,5,2015-06
402,2015-06-27,South East Asia,Philippines,Theft at anchorage,Tanker,0,Anchorage,13.733333333333302,121.03333333333299,Night,1,1,2015,6,26,27,5,2015-06
400,2015-06-27,East Africa,Kenya,Armed robbery at berth,Tanker,0,Berth,-3.96666666666667,39.6333333333333,Evening,1,1,2015,6,26,27,5,2015-06
401,2015-06-27,West Africa,Nigeria,"Failed attack, robbery",Passenger vessel,0,Anchorage,4.1,8.1,Night,1,0,2015,6,26,27,5,2015-06
398,2015-06-28,South East Asia,Singapore,Armed robbery at sea,Tanker,0,Off shore,1.1,103.53333333333299,Night,1,1,2015,6,26,28,6,2015-06
399,2015-06-28,Americas,Colombia,Armed robbery at anchorage,General cargo vessel,0,Anchorage,10.380999999999998,-74.4385,Night,1,1,2015,6,26,28,6,2015-06
397,2015-06-29,Eastern Mediterranean,Egypt,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,31.686029722222198,34.1842344444444,Unknown,1,0,2015,6,27,29,0,2015-06
395,2015-06-29,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.06133333333333,103.67166666666701,Night,1,0,2015,6,27,29,0,2015-06
396,2015-06-29,South East Asia,Malaysia,Suspicious activity at sea,Bulk carrier,0,Off shore,1.4366666666666699,103.101666666667,Night,1,0,2015,6,27,29,0,2015-06
394,2015-06-30,South East Asia,Indonesia,Armed robbery at anchorage,Product tanker,0,Anchorage,3.9166666666666696,98.7666666666667,Night,1,1,2015,6,27,30,1,2015-06
393,2015-07-02,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,5.51683333333333,0.3845,Morning,1,1,2015,7,27,2,3,2015-07
392,2015-07-02,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,5.58333333333333,0.266666666666667,Morning,1,1,2015,7,27,2,3,2015-07
391,2015-07-03,West Africa,Nigeria,Armed robbery at sea,Fishing vessel,0,Off shore,4.54886361111111,8.34033972222222,Unknown,1,1,2015,7,27,3,4,2015-07
390,2015-07-04,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Berth,3.7945758333333304,98.71595611111108,Morning,1,0,2015,7,27,4,5,2015-07
389,2015-07-05,West Africa,Guinea,Armed robbery at anchorage,Product tanker,0,Anchorage,9.508131111111108,-12.250739166666698,Evening,1,1,2015,7,27,5,6,2015-07
388,2015-07-05,South Asia,India,Theft at berth,Product tanker,0,Berth,17.6666666666667,83.4,Morning,1,1,2015,7,27,5,6,2015-07
387,2015-07-09,West Africa,Nigeria,Kidnap/ransom at sea,Other,0,Off shore,4.42740333333333,6.59935,Unknown,1,1,2015,7,28,9,3,2015-07
386,2015-07-09,West Africa,Nigeria,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,4.2166666666666694,6.86666666666667,Morning,1,0,2015,7,28,9,3,2015-07
385,2015-07-10,North Africa,Libya,Counter insurgency/military operation,Unknown vessel type,0,Unknown,30.5931177777778,18.4160686111111,Unknown,1,1,2015,7,28,10,4,2015-07
384,2015-07-11,South East Asia,Vietnam,Theft at anchorage,Chemical tanker,0,Anchorage,10.1666666666667,107.083333333333,Afternoon,1,1,2015,7,28,11,5,2015-07
383,2015-07-14,West Africa,Nigeria,Suspicious activity at anchor,Container ship,0,Anchorage,6.08333333333333,1.28333333333333,Night,1,0,2015,7,29,14,1,2015-07
382,2015-07-15,South East Asia,China,Armed robbery at berth,Bulk carrier,0,Berth,10.763333333333302,106.71,Night,1,1,2015,7,29,15,2,2015-07
381,2015-07-16,Eastern Mediterranean,Egypt,Counter insurgency/military operation,Unknown vessel type,0,Unknown,31.349214166666698,34.114895000000004,Unknown,1,1,2015,7,29,16,3,2015-07
380,2015-07-16,South East Asia,Indonesia,"Failed attack, robbery",Supply vessel,0,Anchorage,0.9962725,103.999328611111,Night,1,0,2015,7,29,16,3,2015-07
379,2015-07-16,West Africa,Nigeria,Suspicious activity at sea,Unknown vessel type,0,Off shore,4.435296111111111,8.35899388888889,Evening,1,0,2015,7,29,16,3,2015-07
378,2015-07-16,West Africa,Nigeria,Armed robbery at sea,Unknown vessel type,0,Off shore,4.55,7.95,Evening,1,1,2015,7,29,16,3,2015-07
377,2015-07-18,West Africa,Ghana,Theft at anchorage,Supply vessel,1,Anchorage,4.9,-0.28333333333333305,Night,1,1,2015,7,29,18,5,2015-07
376,2015-07-19,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,31.798204444444398,19.8111647222222,Unknown,1,1,2015,7,29,19,6,2015-07
375,2015-07-20,East Africa,Kenya,"Failed attack, robbery",Product tanker,0,Berth,-3.9275058333333304,39.6661375,Night,1,0,2015,7,30,20,0,2015-07
